"","Index_No","Mid_34","Mid_20","Final_80","Marks_1","Marks_2","Grand_Final","Lec_1","Lec_2","Lec_3","Lec_4","Lec_5","Lec_6","Lec_7","Total_Attendance"
"271","A271",22,12.94117647,61,73.94117647,76.25,76,1,1,1,1,1,1,0,6
"272","A272",18,10.58823529,61,71.58823529,76.25,76,1,0,0,0,0,0,0,1
"273","A273",20,11.76470588,62,73.76470588,77.5,78,1,0,0,1,1,1,0,4
"274","A274",22,12.94117647,62,74.94117647,77.5,78,1,1,0,1,0,0,0,3
"275","A275",28,16.47058824,62,78.47058824,77.5,78,1,1,1,1,1,1,0,6
"276","A276",22,12.94117647,62,74.94117647,77.5,78,1,0,0,0,1,0,0,2
"277","A277",29,17.05882353,61,78.05882353,76.25,78,1,1,1,1,1,0,0,5
"278","A278",13,7.647058824,62,69.64705882,77.5,78,1,0,0,1,1,1,0,4
"279","A279",14,8.235294118,62,70.23529412,77.5,78,1,1,1,1,1,0,1,6
"280","A280",5,2.941176471,63,65.94117647,78.75,79,1,0,1,1,1,0,0,4
"281","A281",29,17.05882353,62,79.05882353,77.5,79,1,0,1,1,1,1,1,6
"282","A282",24,14.11764706,63,77.11764706,78.75,79,1,1,1,1,1,0,0,5
"283","A283",28,16.47058824,63,79.47058824,78.75,79,0,0,1,1,0,0,0,2
"284","A284",26,15.29411765,63,78.29411765,78.75,79,1,1,1,1,0,0,0,4
"285","A285",28,16.47058824,63,79.47058824,78.75,79,1,1,1,1,1,0,0,5
"286","A286",32,18.82352941,60,78.82352941,75,79,1,1,1,1,0,0,0,4
"287","A287",22,12.94117647,64,76.94117647,80,80,1,1,1,0,1,0,0,4
"288","A288",21,12.35294118,64,76.35294118,80,80,1,0,1,0,0,0,0,2
"289","A289",25,14.70588235,64,78.70588235,80,80,1,1,1,1,0,1,1,6
"290","A290",28,16.47058824,65,81.47058824,81.25,81,1,1,1,1,1,0,0,5
"291","A291",24,14.11764706,65,79.11764706,81.25,81,1,1,1,1,1,0,0,5
"292","A292",27,15.88235294,65,80.88235294,81.25,81,1,1,0,1,0,0,0,3
"293","A293",22,12.94117647,65,77.94117647,81.25,81,1,1,1,1,1,0,1,6
"294","A294",28,16.47058824,65,81.47058824,81.25,81,1,0,0,1,0,0,0,2
"295","A295",26,15.29411765,65,80.29411765,81.25,81,1,0,0,0,1,1,0,3
"296","A296",31,18.23529412,64,82.23529412,80,82,1,0,1,0,1,0,0,3
"297","A297",29,17.05882353,65,82.05882353,81.25,82,1,1,1,1,1,0,0,5
"298","A298",34,20,62,82,77.5,82,1,1,1,1,1,0,1,6
"299","A299",21,12.35294118,66,78.35294118,82.5,83,1,0,1,1,1,1,1,6
"300","A300",24,14.11764706,66,80.11764706,82.5,83,1,1,1,0,1,0,0,4
"301","A301",20,11.76470588,66,77.76470588,82.5,83,1,1,0,1,0,1,0,4
"302","A302",26,15.29411765,66,81.29411765,82.5,83,1,0,1,1,1,1,1,6
"303","A303",23,13.52941176,66,79.52941176,82.5,83,1,1,1,0,1,0,0,4
"304","A304",31,18.23529412,65,83.23529412,81.25,83,1,1,1,1,0,0,0,4
"305","A305",28,16.47058824,67,83.47058824,83.75,84,1,1,1,1,1,1,1,7
"306","A306",26,15.29411765,67,82.29411765,83.75,84,1,1,1,1,1,1,1,7
"307","A307",28,16.47058824,67,83.47058824,83.75,84,0,1,0,1,1,0,0,3
"308","A308",17,10,67,77,83.75,84,1,1,1,1,1,0,0,5
"309","A309",25,14.70588235,68,82.70588235,85,85,1,1,1,1,1,1,1,7
"310","A310",34,20,65,85,81.25,85,1,1,1,0,0,0,0,3
"311","A311",26,15.29411765,68,83.29411765,85,85,0,1,1,0,1,1,1,5
"312","A312",29,17.05882353,68,85.05882353,85,85,1,1,1,1,1,0,0,5
"313","A313",27,15.88235294,68,83.88235294,85,85,1,1,1,0,0,0,0,3
"314","A314",19,11.17647059,68,79.17647059,85,85,0,0,0,0,1,1,1,3
"315","A315",11,6.470588235,69,75.47058824,86.25,86,1,1,1,1,1,0,0,5
"316","A316",26,15.29411765,70,85.29411765,87.5,88,0,1,1,1,0,0,0,3
